"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/12/50 22:00","Half Moon Bay","CA","Other","10 minutes","3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.","6/12/08"
"10/15/50 15:00","Sandy Hook/Highlands","NJ","Triangle","5 minutes","Triangles over New York Harbor 1950","10/30/06"
"10/1/50 11:00","Pikeville","KY","Disk","HR","SEVENTY SOME  FLYING DISK OBSERVED IN  1950","4/16/05"
"8/15/50 14:00","Stanfield","OR","Disk","2 - 3 minutes","In 1950, Eastern Oregon, I saw one silver, oval shaped disk hover for approximately 2 - 3 minutes before quickly accelerating away.","10/31/08"
"8/1/50 04:00","Louisville","KY","Other","1 minute","In 1953, at the age of 3 years old I was Contacted by what is described as a &quot;GREY&quot;.  This happened in Ky in 1953.","10/19/11"
"7/20/50 21:30","Smithport","PA","Disk","two min","This huge craft came over the hill from Crosbe to rute 1 for about two min. It was orang then it shot away an no sound.   IN 1962  at n","12/12/11"
"7/15/50 23:00","Los Padres National Forest","CA","Formation","20 seconds","Is'nt it fun how the Gov. tries to block things","12/23/02"
"7/15/50 21:30","Newark","NJ","Sphere","5 min","As a student of astronomy, this writer witnessed ufo's performing astounding aerial maneuvers. Silent propulsion. Technical performance","5/24/99"
"7/15/50 19:00","Newman Lake","WA","Disk","15 minutes","Sitting there above the hilltops to the south sat a huge spaceship just hovering over the hills.  The size was immense.","11/6/15"
"7/10/50 20:30","East Palestine (Outside of)","OH","Light","approx 5 min","Lights observed moving in and out of a thunderstorm","4/28/01"
"7/2/50 21:00","Bay St. Louis","MS","Light","5 1/2 hours","It was the July 4th weekend, Bay St Louis MS was deserted, the nearby Movie theater and bar were closed  early, and the locals had left","3/2/04"
"7/2/50 13:00","Coeur d'Alene","ID","Cigar","10 seconds","Bright Orange, Cigar-Shapped Object Travelling at 18,000 MPH","8/12/08"
"6/30/50 17:30","Florence (??)","CO","Disk","2-3 seconds","Possible ufo in a western movie.  (NUFORC Note:  &quot;Rio Grande,&quot; with John Wayne.  Reported to NUFORC before.  PD))","1/21/08"
"6/30/50 17:30","Florence (??))","CO","Light",".5 SEC","The move classic Rio Grand , in the sean between John Wayne and Ohair where he gives her flowers UFO moves in from uper left to right b","1/21/08"
"6/30/50 16:00","Lac Du Flambeau","WI","Disk","30 seconds","saucer like disc submerging from waters, disapears instantaneously, water boils before submerging.","3/19/09"
"6/20/50 17:00","Galveston","TX","Sphere","5 to 10 minutes","Large orange-red  lowering &quot;Moon&quot; object","10/30/06"
"6/20/50 10:00","Booneville","MS","Disk","4 sec","Youngster observes shiny disc-shaped craft","7/23/00"
"6/15/50 20:00","Fort Worth","TX","Disk","4 minutes","In 1958 witness 3 flying saucers from a distance of only 20 feet.","3/10/11"
"6/15/50 20:00","Bonifay (near)","FL","Disk","10 seconds","The objects were discs, white, and I estimate were moving around 100 mph in a southerly direction.","1/12/12"
"6/15/50 13:00","Grosse Pointe Park","MI","Oval","10 minutes","1951-52  Grosse Pointe, MI. Three saucer shaped objects entering into a large oval shapped object.","11/28/07"
"6/15/50 03:00","Sugar House","UT","Unknown","Unknown","I am 72 and this started when I was 5-6 and continued through different parts of my life with different events. I have put it off becau","7/3/15"
"6/8/50 10:00","Kansas City","MO","Disk","15minutes","The ufo came from the East, as I was looking North. It hovered briefly above the house across the street from me; that house was on a s","12/16/05"
"6/7/50 20:00","Kensington","MD","Oval","10 minutes","Reflective oval seen hovering over Washington D.C.","11/28/07"
"6/1/50 20:00","Pittsburgh","PA","Oval","20/25 minutes","One larger white object &amp; 2 smaller round white objects.","2/14/06"
"6/1/50 16:00","Philadelphia","MS","Disk","ten minutes or less","Childhood sighting of disk witnessed by mother and sons.","6/12/08"
"5/12/50 14:00","Fort Lewis","WA","Triangle","5 min","the triangular shaped craft chased each other, turning at sharp angles and then left in a straight line at incredible speed","4/27/04"
"4/15/50 14:00","Waynesborough","VA","Disk","5 minutes","Fishburne Military School:  9 students witness saucer-shaped object from ROTC Drill Field in 1950.","11/19/12"
"4/15/50 08:00","Arkansas (eastern; on US Hwy 70 abt 75 m w/o Memphis, TN)","AR","Disk","1-3 minutes","Disk shaped unmoving over highway for 1-3 minutes in eastern Arkansas, est. size about 200 feet.","12/16/05"
"1/2/50 00:00","New York City","NY","Oval","15min","good and true info. 500 Lights On Object0: Yes","4/27/07"
"1/1/50 22:00","Mount Hope","WV","Unknown","unknown","One of first sightings in U.S. -- 1950s","5/24/05"
