Date / Time,City,State,Shape,Duration,Summary,Posted
12/31/11 23:59,Anderson,CA,Light,5-7 minutes,Moving lights that changed colors and sped away at a high rate of speed.,1/12/12
12/31/11 23:59,Anderson,CA,Formation,10 minutes,Orange orbs seen in Anderson, CA.,2/18/13
12/31/11 23:58,Mesa,AZ,Circle,2-5 min,Mulitple lights seen over Mesa, Az New Years 2012,1/12/12
12/31/11 23:57,Imperial,MO,Oval,20 mins,Three glowing lights and one trianguler craft,1/12/12
12/31/11 23:55,Venice,FL,Oval,5 minutes,Right before the firework display started at the beach we(my kids and I) were looking up in the sky from the peer at the stars and we s,5/13/12
12/31/11 23:53,Pasadena,CA,Circle,5 minutes,Two orange bright circular objects kept going back and forth in the sky, then disappeared, when the clock hit 12 and it was new years.,1/12/12
12/31/11 23:52,Seattle,WA,Circle,5 minutes,8-10 orange UFO's sited New Years Eve, just before midnight in Seattle.,1/24/12
12/31/11 23:45,Sarasota,FL,Oval,ten minutes,Orange-Red spherical oblong shaped craft flying in formation above DUI checkpoint shortly before New Year's eve.,2/3/12
12/31/11 23:45,Gainesville,FL,Circle,5 minutes,15 disc shaped, silent, slow moving , orange lighted craft slowly changing formation was seen by 10 witnesses 12/31/2011 11:45pm,5/13/12
12/31/11 23:45,Duck,NC,Oval,45 seconds,3 red globes entered sky from northwest,hovered appprox 15 seconds, rapidly disappeared into south sky,1/12/12
12/31/11 23:40,Mooresville,NC,Light,90 seconds,Four lights traveling south with two lights flying between them.,5/15/13
12/31/11 23:40,Kennebunk,ME,Light,3 Minutes,2 bright orange irregular lights moving slowly, with no sound, into a fog bank over the ocean.,1/12/12
12/31/11 23:35,Norwich,VT,Teardrop,5 min.,Tear drop lights sighting in Pompanoosic/Norwich, VT, area New Year's Eve.,1/12/12
12/31/11 23:30,Port St. Lucie,FL,Oval,25min,Bright Orange Flame like Orbs in the sky over Port Saint Lucie Florida,1/12/12
12/31/11 23:30,Wellington,FL,Formation,10 min,Orange Lights - 13 in formation over Lake Wellington,1/12/12
12/31/11 23:30,New Mexico border (driving west on I-40: 20 mi. past),NM,Teardrop,10 seconds,Pulsating emerald green sideways teardrop entered the dark sky as if it traveling ar warp speed from the south. As it was travelling no,5/20/16
12/31/11 23:15,Port Richey,FL,Fireball,ten minutes,Bright Orange Sphere wobbling while Bright White Led Looking Light remains constant nearby.,1/12/12
12/31/11 23:15,Scarborough,ME,Light,1 minute,Witnessed 4 orange lights, 3 equidistant apart and the 4th light set apart and all travelling low/slow in the night sky and dissapeared,1/12/12
12/31/11 22:50,Eugene,OR,Fireball,30 seconds,One orange glow traveling west at a steady speed,1/12/12
12/31/11 22:30,Orlando,FL,Light,5 mins,Around 3 groups of 4 light pale lights, just like small stars, doing some formation and disappearing in a dark sky,1/24/12
12/31/11 22:20,Savannah,GA,Rectangle,20 minutes,Big black rectangle over Georgia.,8/2/16
12/31/11 22:00,Jensen Beach,FL,Light,15 seconds,Three red dots in triangle formation,1/12/12
12/31/11 22:00,Prescott/Prescott Valley,AZ,Light,5 seconds,Green light/sphere seen in Prescott/Prescott Valley,1/12/12
12/31/11 22:00,Brusly,LA,Teardrop,2 minutes,Orange, out of the ordinary shape object in the sky, lasting a few minutes and looks like nothing I have ever seen before!,1/24/12
12/31/11 21:55,Roseburg,OR,Light,3 minutes,Three lights were seen, forming a triangle.,1/12/12
12/31/11 21:44,San Francisco,CA,Light,10-15 seconds,New years eve UFO sight over San Francisco,1/12/12
12/31/11 21:30,Avinger,TX,Oval,2 minutes,We witnesed a reddish, paper lantern shaped object moving through the sky, about 20 degrees above the horizon.,1/12/12
12/31/11 21:30,Queen Creek,AZ,Oval,3-4 sec,Oval object, fast moving with a light green tail. also radiating a white halo, came from the eastern sky and flew westward,1/12/12
12/31/11 21:00,Cowpens,SC,Fireball,5-10 sec,Fireball over sc,3/13/12
12/31/11 21:00,Birmingham,AL,Circle,10-15 seconds,Red circular object travelling at high rate of speed,1/12/12
12/31/11 20:30,Lyman,UT,Unknown,5 sec,Bright green flying light,1/12/12
12/31/11 20:30,Dallas,TX,Circle,,Three Circles of lights moved across the night sky.,1/12/12
12/31/11 20:30,Flagstaff (south of),AZ,Sphere,5 secs,New Year's Eve 2011 UFO sighting around 8:30 pm south of Flagstaff, Arizona,1/12/12
12/31/11 20:23,Sedona,AZ,Triangle,30-45 seconds,I was facing N NE 34 51&#8217;52.16N 111 47&#8217;38.39W   elevation 4436 ft The object came from the NE directly NW till it was gone,1/12/12
12/31/11 20:20,Albuquerque,NM,Diamond,10 seconds,Cyan color diamond shape glowing object outskirts west of Albuquerque NM.,1/12/12
12/31/11 20:16,Cottonwood,AZ,Fireball,a few seconds,A large green ball of light with a yellow then white tail then nothing, appeared low in the sky.,1/12/12
12/31/11 20:15,Cedaredge,CO,Sphere,7 sec.,A large, greenish swirling light moved east to west across  the night sky, disappearing behind Grand Mesa.,1/12/12
12/31/11 20:15,El Cajon,CA,Circle,20 minutes,A white bright, close by light hovering in the sky. They are still there right now.,1/12/12
12/31/11 20:15,Wellton,AZ,Fireball,8 to 10 seconds,Blue Green Glow,1/12/12
12/31/11 20:13,Alton Bay,NH,Sphere,2 min.,7 orange spheres seen flying South East from Alton to Seacoast,1/12/12
12/31/11 20:00,Hwy 58 (Past 119),VA,Circle,1 minute or more,Group of 5 or 6 circular objects around 8pm seen on 58 near rt119.  Appearance of group in a zigzag very bright and orange. I managed t,1/12/12
12/31/11 20:00,Scottsdale,AZ,Disk,45 seconds,Scottsdale,1/12/12
12/31/11 19:31,St. Charles,MO,Light,3 to 5 minutes,MO INVESTIGATORS GROUP:  All of a sudden about 6 more appeared and were flying in the same dir. as they were following the other 5.,3/13/12
12/31/11 19:30,Medford,OR,Unknown,5 minutes,Orange-red ball of light with jerky movements going North, then South, then West and vanishing over the skies of Medford, OR.,1/12/12
12/31/11 19:30,Elgin,SC,Light,1 minute,Bright orange light moving slowly across sky in SC.,1/12/12
12/31/11 19:25,Kenosha,WI,Fireball,3 seconds,Fireball descends and Pops over Kenosha,1/12/12
12/31/11 19:10,Auburn,CA,Sphere,10 seconds,Two large orange colored lights over the Auburn skies at night,1/12/12
12/31/11 18:45,Moore,SC,Diamond,2 minutes,Bright glowing object appearing as if it was on fire moving slowly and very low in the sky,1/12/12
