lat,lng,city,state,date,specs,shape,duration
28.5547225,81.10645199999999,Bithlo,FL,12/30/67,"On the evening of December 30, 1967, shortly after dusk, I observed along with two other witnesses, a circular craft, approximately 40",Disk,Approx. 7 hours
38.5292877,76.97525139999999,La+Plata,MD,12/15/67,"bright rotating colors, two objects, one large and one much smaller.",Circle,10 minutes
41.3139426,81.6851271,Broadview+Heights,OH,12/6/67,"Saw descending star-shaped object, slow, bright, no trails, no explosion, twice in 15 years.",Light,20 seconds
43.12784680000001,121.0480986,Silver+Lake,OR,11/20/67,"Saw a small white light that increased dramatically in size, reduced to a small light, turned red and zip......it was gone.",Unknown,1minute
48.993723,122.7471191,Blaine,WA,11/15/67,UFO flyover during war games.,Unknown,36 seconds
34.0194025,80.9440147,Fort+Jackson,SC,11/15/67,2 soldiers obseved object while on guard duty.,Disk,15 minutes
41.8781136,87.6297982,Chicago,IL,11/12/67,"Saucer shaped, with 2 and a half portholes visible, a red light atop, and it moved away at high speed",Disk,30 - 60 seconds
31.0567117,93.21312309999999,Fort+Polk,LA,11/10/67,"This was a UFO sighting by a military formation at  Ft Polk, Lousiana in 1967.",Unknown,5-10 inutes
37.8735377,122.4566392,Tiburon,CA,11/2/67,"Teardrop outlined in white light, three circular white lights in dark interior, silent.",Teardrop,20 seconds
34.774531,96.6783449,Ada,OK,10/31/67,Extreemly fast moving multi colored circle of light.,Circle,12 seconds
31.9973456,102.0779146,Midland,TX,10/31/67,I remember this event very distinctly.  However I am unsure of the date.  It&#8217;s approximate.  However I am very sure it was during a Hal,Light,5 seconds
41.0232624,73.5652049,Old+Greenwich,CT,10/20/67,Very OLD sighting of glowing blue object hovering over RR tracks/wires in SW Connecticut. 1967!,Disk,30 seconds
36.2978443,91.515973,Cherokee+Village,AR,10/17/67,Bright light - 12ft Sphere,Circle,35 minutes
38.2706059,121.944889,Travis+AFB,CA,10/15/67,UFO AT TRAVIS AFB CALIFORNIA 1967.,Unknown,?
34.4113854,118.5400858,Saugus,CA,10/15/67,"oct. 1967 late night, I was a high school student living in the boring town of Saugus, California, the nearest town was Newhaul, and th",Light,3 minutes
34.187044,118.3812562,North+Hollywood,CA,10/15/67,A fireball over the San Fernando Valley in 1967,Fireball,15+ minutes
34.3675936,77.71054819999999,Hampstead,NC,10/15/67,Hampstead North Carolina disk 1967,Disk,5 minutes
