lat,lng,city,state,date,specs
35.5950581,82.5514869,Asheville,NC,3/23/17,Object gave off a bright flash of light and disapeared
39.41426879999999,77.4105409,Frederick,MD,3/22/17,A formation of lights in a checkmark pattern moving very fast across the sky.  ((anonymous report))
43.1978624,70.8736698,Dover,NH,3/22/17,"3 green flashing object in a star filled W sky of downtown Dover NH, random motion up, down, sideway; disappeared 3x. ((anon. report))"
32.8342952,97.2289029,North+Richland+Hills,TX,3/22/17,We came to sit out on balcony. We She was surprised that she could see so many stars. We saw a plane fly by. ((anonymous report))
43.7508284,87.71453,Sheboygan,WI,3/22/17,Object appeared ESE over Lake Michigan as an orange ball of light.  As we watched it it became brighter and began flickering.
34.9809995,79.2241997,Raeford,NC,3/22/17,((NUFORC Note:  No information provided by the witness.  PD))
39.0997265,94.5785667,Kansas+City,MO,3/22/17,4 green dots.  ((anonymous report))
41.7475933,74.0868095,New+Paltz,NY,3/21/17,7-9 lights crossing the sky in a haphazard formation.
36.7282054,76.5835621,Suffolk,VA,3/21/17,Looked out bathroom window saw a huge orange circle it sat on the sky for a few minutes before falling to the ground.  Was NOT a shooti
27.937801,82.2859247,Brandon,FL,3/21/17,"Silent triangular UFO over Brandon, Florida."
32.8767389,117.1382404,Miramar,CA,3/21/17,Rapid blinking light; appeared to grow in size first just 1 light was visible then the formation became visible. ((anonymous report))
42.279286,71.4161565,Framingham,MA,3/21/17,Various bright lights in night sky..thought was helicopters but werent moving..objects just kept getting brighter &amp; brighter &amp; then the
34.0262082,86.3260923,Altoona,AL,3/21/17,My son and I witnessed 4 low-flying objects we heard the first and it had no strobes completely black low rumble then another w/ green.
42.8214525,77.66860969999999,Livonia,NY,3/21/17,"As I was driving home, a large green circle appered far in the sky in front of me and shortly after sped  across the sky horizontally"
38.6270025,90.19940419999999,St.+Louis,MO,3/21/17,Green fireball over St. Louis.
34.9918587,90.0022958,Southaven,MS,3/21/17,"My name is At 19;50/7:50 pm I observed a fire ball Moving thru the air very fast,from almost Due south to Due north..I was standing"
26.1003654,80.3997748,Weston,FL,3/21/17,Shining at brief moments very intense reflection.
28.0186323,82.1128641,Plant+City,FL,3/21/17,"Circular, Grey lights moving in opposite direction, hovering.  Have photos. ((anonymous report))((NUFORC Note:  No photos sent.  PD))"
43.1314966,80.74716509999999,Woodstock+(Canada),ON,3/21/17,2 bright lights spotted at edge of big dipper
37.4223414,81.0161994,Athens,WV,3/21/17,Athens.
32.3717248,112.8607099,Ajo,AZ,3/20/17,"My wife and I saw a huge triangular shaped object, red lights at each point, for about 5 minutes. ((anonymous report))"
38.8338816,104.8213634,Colorado+Springs,CO,3/20/17,1-6 extremely bright yellow lights  mid sky facing south. 2 horizontal rows maybe 3 on each side flashing e-regularly somethimes making
39.0284685,104.4841284,Peyton,CO,3/20/17,Facing southwest on Meridian Road looking out over Peterson AFB. Saw three HUGE orange orbs floating in a triangle formation. Lights pr
29.9012437,81.31243409999999,St.+Augustine,FL,3/20/17,Same huge triangle seen again 5 days later.
41.7798226,71.4372796,Cranston,RI,3/20/17,Two lights moving faster than an airplane.  ((anonymous report))
37.948544,91.7715303,Rolla,MO,3/20/17,"Red and orange, fuzzy oval shape 'cruised' through sky, then made a very rapid ascent and disappeared.  ((anonymous report))"
37.948544,91.7715303,Rolla,MO,3/20/17,"Red and orange light appeared to &amp;quot;cruise&amp;quot; steadily, then rapidly ascend at an angle and disappear."
33.3061605,111.8412502,Chandler,AZ,3/20/17,"Orange orbs in southeastern Phoenix sky, March 20, 2017, around 8-9 pm."
32.7766642,96.79698789999999,Dallas,TX,3/20/17,There was a big green flash of light.  ((anonymous report))
